epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,285.948,0.50678,0.95309,0.41874,1.03511,0.96069,0.96541,0.98898,0.83625,0.95953,0.93662,0.97637,0.8024,0.57062,1.03291,0.43804,1.13344,0.0017129,0.0017129,0.0017129
31,295.443,0.48201,0.94434,0.4228,1.02308,0.92546,0.95036,0.98112,0.83452,0.91945,0.94815,0.97007,0.79492,0.59964,1.17271,0.46106,1.15008,0.001703,0.001703,0.001703
32,304.921,0.47711,0.9411,0.41863,1.0185,0.93137,0.87654,0.95671,0.76929,0.93507,0.86914,0.94805,0.75457,0.65573,1.03818,0.69144,1.22478,0.0016931,0.0016931,0.0016931
33,314.408,0.47679,0.91277,0.42063,1.01639,0.9469,0.94321,0.97009,0.80341,0.94574,0.93086,0.96142,0.7592,0.59253,1.17264,0.51883,1.14182,0.0016832,0.0016832,0.0016832
34,323.868,0.48954,0.92712,0.42651,1.02845,0.94546,0.94167,0.97777,0.82944,0.93798,0.93355,0.97229,0.79845,0.58479,1.04534,0.48544,1.13971,0.0016733,0.0016733,0.0016733
35,333.356,0.47793,0.92037,0.40879,1.02154,0.90666,0.91605,0.97091,0.79134,0.91117,0.88649,0.9496,0.72113,0.59298,1.43329,0.53507,1.15189,0.0016634,0.0016634,0.0016634
36,342.841,0.47004,0.93611,0.4074,1.01709,0.96401,0.92593,0.98306,0.84925,0.94875,0.94568,0.97512,0.81217,0.5384,0.96603,0.4558,1.07929,0.0016535,0.0016535,0.0016535
37,352.328,0.49441,0.93723,0.42109,1.02622,0.9384,0.93086,0.96409,0.8196,0.91645,0.90864,0.93865,0.77269,0.55684,1.27623,0.45782,1.15362,0.0016436,0.0016436,0.0016436
38,361.813,0.47689,0.91767,0.4162,1.0254,0.97421,0.93286,0.98727,0.82842,0.9609,0.91605,0.96133,0.75239,0.55562,1.20686,0.46015,1.1534,0.0016337,0.0016337,0.0016337
39,371.292,0.48612,0.96583,0.42176,1.02242,0.93737,0.95802,0.97308,0.79642,0.9164,0.94074,0.95244,0.74722,0.63413,1.1432,0.60876,1.21182,0.0016238,0.0016238,0.0016238
40,380.798,0.47163,0.92215,0.41301,1.01674,0.95683,0.93029,0.97198,0.8202,0.95175,0.92535,0.96051,0.76302,0.58383,1.19902,0.50985,1.18246,0.0016139,0.0016139,0.0016139
41,390.287,0.45708,0.89487,0.39425,1.00462,0.95074,0.95313,0.97629,0.8053,0.9455,0.94321,0.96313,0.77151,0.57295,0.9367,0.49566,1.11355,0.001604,0.001604,0.001604
42,399.762,0.4647,0.90048,0.40844,1.00892,0.76206,0.87654,0.91431,0.76547,0.78511,0.83951,0.90039,0.72431,0.52506,1.10129,0.63047,1.12443,0.0015941,0.0015941,0.0015941
43,409.266,0.45473,0.88048,0.39873,1.0058,0.97248,0.9599,0.98312,0.85453,0.9549,0.94112,0.96767,0.81827,0.5259,1.12291,0.39965,1.08148,0.0015842,0.0015842,0.0015842
44,418.747,0.44639,0.84139,0.38178,1.00391,0.95773,0.95095,0.98014,0.84105,0.94167,0.95667,0.96581,0.80113,0.5072,0.88026,0.41864,1.07696,0.0015743,0.0015743,0.0015743
45,428.207,0.45456,0.88166,0.38365,0.99933,0.97638,0.91842,0.97297,0.82682,0.97546,0.92099,0.97317,0.79,0.56943,1.1077,0.45726,1.13393,0.0015644,0.0015644,0.0015644
46,437.679,0.46219,0.87673,0.3906,1.01137,0.95766,0.94951,0.98702,0.84104,0.95629,0.94815,0.9793,0.8227,0.55968,1.01436,0.43566,1.13842,0.0015545,0.0015545,0.0015545
47,447.154,0.43153,0.82236,0.3679,0.99034,0.97964,0.95044,0.99035,0.88058,0.97546,0.94815,0.98496,0.85739,0.47069,0.82951,0.37027,1.02951,0.0015446,0.0015446,0.0015446
48,456.659,0.44304,0.85527,0.38776,0.99431,0.9589,0.92165,0.97265,0.83263,0.95119,0.91424,0.96618,0.78661,0.55376,1.07509,0.53013,1.12508,0.0015347,0.0015347,0.0015347
49,466.113,0.43356,0.83366,0.361,0.99988,0.96128,0.96049,0.98586,0.83336,0.95634,0.95556,0.97535,0.78841,0.54231,1.12431,0.39965,1.12541,0.0015248,0.0015248,0.0015248
50,475.581,0.4351,0.81984,0.36456,0.99797,0.96322,0.97037,0.99183,0.883,0.95076,0.95355,0.97254,0.81478,0.46483,1.11288,0.36217,1.03189,0.0015149,0.0015149,0.0015149
51,485.064,0.41891,0.81913,0.366,0.99205,0.95773,0.9679,0.98759,0.86333,0.95528,0.96543,0.97954,0.83641,0.49266,0.95198,0.37208,1.07627,0.001505,0.001505,0.001505
52,494.565,0.43639,0.83128,0.3803,0.99396,0.95213,0.93302,0.97864,0.82822,0.93946,0.9196,0.97024,0.78146,0.55413,1.18735,0.48894,1.1382,0.0014951,0.0014951,0.0014951
53,504.044,0.42647,0.79772,0.3566,0.98777,0.94858,0.95062,0.97721,0.84202,0.93212,0.93333,0.94981,0.80472,0.54836,1.01452,0.43521,1.13785,0.0014852,0.0014852,0.0014852
54,513.517,0.4225,0.82123,0.36898,0.98233,0.96263,0.96296,0.98646,0.86903,0.9426,0.9325,0.9608,0.79139,0.51077,1.08113,0.42075,1.07641,0.0014753,0.0014753,0.0014753
55,523,0.4133,0.81077,0.35675,0.97662,0.9596,0.95802,0.98699,0.85449,0.95124,0.95062,0.97818,0.79776,0.51048,1.11738,0.38649,1.10885,0.0014654,0.0014654,0.0014654
56,532.472,0.41508,0.80352,0.3586,0.97498,0.94203,0.94074,0.98204,0.83866,0.92947,0.9284,0.95683,0.80792,0.59801,1.14925,0.45638,1.14889,0.0014555,0.0014555,0.0014555
57,541.951,0.42543,0.79941,0.37036,0.97654,0.96012,0.95112,0.97614,0.85793,0.95268,0.94321,0.96568,0.82405,0.50477,0.8605,0.39808,1.07714,0.0014456,0.0014456,0.0014456
58,551.426,0.40944,0.76582,0.3483,0.97186,0.97691,0.9679,0.99107,0.87933,0.96195,0.95309,0.97605,0.83554,0.46095,1.02001,0.35996,1.042,0.0014357,0.0014357,0.0014357
59,560.905,0.41286,0.77616,0.35541,0.97909,0.95752,0.96049,0.98877,0.87371,0.95195,0.94815,0.9754,0.82187,0.50819,1.03545,0.40189,1.11227,0.0014258,0.0014258,0.0014258
60,570.344,0.41362,0.79581,0.35209,0.98699,0.97871,0.96296,0.99044,0.89688,0.95606,0.96694,0.98251,0.86809,0.41609,0.73707,0.31275,0.98325,0.0014159,0.0014159,0.0014159
61,579.838,0.40863,0.75603,0.34016,0.96906,0.95061,0.97037,0.98828,0.86421,0.94577,0.96543,0.98263,0.8332,0.49549,0.90479,0.45624,1.06543,0.001406,0.001406,0.001406
62,589.306,0.39867,0.76904,0.3446,0.9715,0.97237,0.95575,0.9786,0.87135,0.97488,0.95822,0.97369,0.81976,0.4643,0.93111,0.35299,1.03097,0.0013961,0.0013961,0.0013961
63,598.751,0.40031,0.77753,0.34391,0.97435,0.97208,0.94578,0.98184,0.86376,0.96701,0.94096,0.97162,0.82024,0.51643,0.97009,0.37216,1.09484,0.0013862,0.0013862,0.0013862
64,608.234,0.41098,0.76753,0.34995,0.98087,0.93545,0.93031,0.96192,0.80082,0.92881,0.92346,0.9522,0.74701,0.59233,1.27782,0.48491,1.18052,0.0013763,0.0013763,0.0013763
65,617.695,0.39735,0.7362,0.33858,0.97002,0.96997,0.9679,0.98859,0.89898,0.97739,0.93333,0.96825,0.81216,0.4474,1.07385,0.358,1.0242,0.0013664,0.0013664,0.0013664
66,627.184,0.39174,0.75771,0.33311,0.96712,0.95418,0.97692,0.98685,0.88204,0.95177,0.97445,0.98492,0.84473,0.44038,0.85169,0.35088,1.0135,0.0013565,0.0013565,0.0013565
67,636.634,0.39851,0.7292,0.33524,0.96308,0.96212,0.96296,0.98875,0.90312,0.96212,0.96296,0.98304,0.86189,0.41349,0.8187,0.34289,0.98352,0.0013466,0.0013466,0.0013466
