epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,1226.04,0.31949,0.59088,0.26019,0.92597,0.97999,0.98025,0.9929,0.92076,0.97505,0.97531,0.98823,0.89003,0.35527,0.7053,0.25258,0.95548,0.0007328,0.0007328,0.0007328
130,1235.66,0.31017,0.58312,0.25562,0.92159,0.98385,0.97284,0.99355,0.92584,0.98634,0.97531,0.99288,0.89054,0.33415,0.67801,0.24909,0.91977,0.0007229,0.0007229,0.0007229
131,1245.15,0.31313,0.58443,0.2573,0.92213,0.98027,0.97037,0.99114,0.91812,0.97528,0.96543,0.98167,0.88242,0.34136,0.71596,0.24228,0.92746,0.000713,0.000713,0.000713
132,1254.71,0.31378,0.59526,0.25678,0.9224,0.98792,0.98025,0.99409,0.93835,0.99041,0.98272,0.99424,0.90494,0.31677,0.62742,0.22824,0.89728,0.0007031,0.0007031,0.0007031
133,1264.26,0.30595,0.57401,0.25505,0.91951,0.98751,0.97617,0.99453,0.93658,0.98501,0.9737,0.99398,0.89546,0.33382,0.65283,0.2404,0.9172,0.0006932,0.0006932,0.0006932
134,1273.81,0.31043,0.57202,0.25457,0.92471,0.99001,0.97834,0.99435,0.94945,0.98525,0.98272,0.99414,0.90673,0.30047,0.64148,0.22742,0.88798,0.0006833,0.0006833,0.0006833
135,1283.33,0.31197,0.56019,0.24981,0.92064,0.98261,0.98765,0.9945,0.95415,0.97793,0.98445,0.99095,0.90576,0.29502,0.63502,0.21956,0.87594,0.0006734,0.0006734,0.0006734
136,1292.85,0.30593,0.5564,0.2553,0.91774,0.97074,0.98314,0.99388,0.94009,0.98472,0.95502,0.98682,0.89673,0.31421,0.71555,0.22868,0.89212,0.0006635,0.0006635,0.0006635
137,1302.36,0.29896,0.55172,0.24916,0.91543,0.99004,0.98175,0.99027,0.93263,0.98506,0.97681,0.98301,0.88937,0.32014,0.71343,0.23257,0.89831,0.0006536,0.0006536,0.0006536
138,1311.9,0.30005,0.55683,0.24464,0.92082,0.98917,0.97037,0.99365,0.93055,0.98162,0.96296,0.98486,0.88757,0.33265,0.64844,0.25287,0.91777,0.0006437,0.0006437,0.0006437
139,1321.45,0.29911,0.56816,0.23887,0.91724,0.99502,0.98587,0.99488,0.9406,0.98754,0.97846,0.99424,0.90658,0.30495,0.63708,0.22229,0.88652,0.0006338,0.0006338,0.0006338
140,1330.99,0.30678,0.59914,0.24989,0.92073,0.99439,0.98025,0.99473,0.94022,0.97337,0.98519,0.99284,0.90246,0.3138,0.62957,0.22266,0.8989,0.0006239,0.0006239,0.0006239
141,1340.5,0.30043,0.55033,0.24651,0.91641,0.99676,0.98025,0.99475,0.94733,0.99425,0.97778,0.99383,0.90801,0.29697,0.63398,0.20897,0.88593,0.000614,0.000614,0.000614
142,1349.99,0.29024,0.54289,0.23672,0.90955,0.99042,0.97284,0.99394,0.94266,0.9879,0.97037,0.99318,0.91103,0.31227,0.63752,0.22697,0.89903,0.0006041,0.0006041,0.0006041
143,1359.47,0.30477,0.5545,0.24934,0.9169,0.99496,0.97403,0.99452,0.94797,0.98029,0.98219,0.99381,0.91197,0.30125,0.65977,0.21531,0.88072,0.0005942,0.0005942,0.0005942
144,1368.97,0.29554,0.55087,0.24028,0.91219,0.98912,0.98519,0.99458,0.93977,0.98657,0.98272,0.99448,0.90944,0.31738,0.65952,0.22631,0.90775,0.0005843,0.0005843,0.0005843
145,1378.54,0.30366,0.54032,0.24558,0.92066,0.98525,0.9899,0.99473,0.94938,0.98269,0.99506,0.99473,0.91775,0.29635,0.62715,0.21826,0.88761,0.0005744,0.0005744,0.0005744
146,1388.08,0.29827,0.55975,0.24297,0.917,0.98957,0.98025,0.99448,0.94844,0.98957,0.98025,0.9943,0.91161,0.29664,0.6413,0.22025,0.89117,0.0005645,0.0005645,0.0005645
147,1397.61,0.29342,0.53616,0.23598,0.90922,0.98753,0.97755,0.99434,0.94347,0.98503,0.97508,0.99402,0.90324,0.31829,0.69106,0.23082,0.89859,0.0005546,0.0005546,0.0005546
148,1407.13,0.29313,0.54545,0.23441,0.91137,0.98517,0.98442,0.9944,0.9463,0.98211,0.98272,0.99436,0.9118,0.30359,0.62792,0.2151,0.8921,0.0005447,0.0005447,0.0005447
149,1416.68,0.29095,0.54269,0.23702,0.91156,0.98518,0.98454,0.99435,0.94576,0.98522,0.98743,0.99438,0.91124,0.31642,0.61134,0.22053,0.89239,0.0005348,0.0005348,0.0005348
150,1426.2,0.29591,0.55096,0.2444,0.91418,0.98729,0.98765,0.99461,0.95029,0.98729,0.98765,0.99461,0.91425,0.29976,0.62886,0.21083,0.88685,0.0005249,0.0005249,0.0005249
151,1435.71,0.3019,0.54715,0.23856,0.91781,0.99501,0.98425,0.99473,0.94267,0.99002,0.97931,0.99432,0.90131,0.29694,0.64347,0.21012,0.90051,0.000515,0.000515,0.000515
152,1445.28,0.28916,0.5251,0.22912,0.90603,0.99506,0.99466,0.99498,0.94887,0.99259,0.99219,0.99495,0.91489,0.30523,0.60565,0.2132,0.89773,0.0005051,0.0005051,0.0005051
153,1454.83,0.28767,0.54876,0.23134,0.90756,0.99102,0.98765,0.99468,0.95005,0.98359,0.98025,0.98706,0.909,0.30688,0.68609,0.21938,0.88768,0.0004952,0.0004952,0.0004952
154,1464.39,0.28576,0.53605,0.23144,0.90598,0.99014,0.99176,0.99309,0.94984,0.98521,0.98683,0.9925,0.90927,0.29476,0.64602,0.21648,0.87465,0.0004853,0.0004853,0.0004853
155,1473.97,0.29553,0.53905,0.23359,0.9167,0.9851,0.98519,0.99407,0.94737,0.98158,0.98272,0.99364,0.90781,0.30111,0.65303,0.21185,0.88212,0.0004754,0.0004754,0.0004754
156,1483.56,0.29023,0.52023,0.23483,0.91601,0.97309,0.98225,0.99355,0.94574,0.97309,0.98225,0.9919,0.91016,0.30418,0.64465,0.23095,0.89573,0.0004655,0.0004655,0.0004655
157,1493.13,0.28137,0.53058,0.23156,0.90048,0.99609,0.97778,0.99465,0.9451,0.99106,0.97284,0.99358,0.9145,0.30052,0.63526,0.21341,0.89224,0.0004556,0.0004556,0.0004556
158,1502.67,0.28064,0.50251,0.22607,0.90999,0.99011,0.9891,0.99473,0.94667,0.9826,0.97623,0.99433,0.91096,0.28713,0.6219,0.21282,0.88298,0.0004457,0.0004457,0.0004457
159,1512.2,0.28292,0.51174,0.22577,0.90339,0.99169,0.97531,0.99394,0.95086,0.98709,0.97037,0.99343,0.91391,0.28963,0.63121,0.21377,0.87853,0.0004358,0.0004358,0.0004358
160,1521.76,0.27215,0.52181,0.22102,0.89859,0.98998,0.97572,0.99361,0.94735,0.97793,0.98451,0.99303,0.91469,0.31069,0.62239,0.22444,0.90565,0.0004259,0.0004259,0.0004259
161,1531.28,0.27687,0.51987,0.22651,0.90608,0.98523,0.98839,0.99473,0.94999,0.99235,0.97531,0.99424,0.91629,0.30037,0.6101,0.20591,0.89597,0.000416,0.000416,0.000416
162,1540.82,0.28343,0.51417,0.22839,0.91177,0.99252,0.98223,0.99463,0.95295,0.97699,0.99259,0.99398,0.91748,0.28645,0.57962,0.20045,0.87805,0.0004061,0.0004061,0.0004061
163,1550.33,0.27783,0.524,0.22221,0.90759,0.9853,0.99294,0.9946,0.95444,0.98495,0.99259,0.99434,0.91584,0.28134,0.60631,0.20618,0.86273,0.0003962,0.0003962,0.0003962
164,1559.89,0.28039,0.52505,0.23086,0.90333,0.9959,0.98272,0.9946,0.95857,0.99235,0.97778,0.99431,0.91522,0.26895,0.64079,0.20111,0.85917,0.0003863,0.0003863,0.0003863
165,1569.42,0.27775,0.53253,0.22563,0.90323,0.99002,0.99259,0.99483,0.95118,0.98922,0.98025,0.99436,0.91091,0.28927,0.63563,0.21412,0.87882,0.0003764,0.0003764,0.0003764
166,1578.94,0.2685,0.49326,0.2156,0.89773,0.98499,0.98765,0.99438,0.95558,0.98762,0.97037,0.99426,0.91968,0.27937,0.6304,0.20362,0.87121,0.0003665,0.0003665,0.0003665
167,1588.47,0.28151,0.50358,0.22028,0.90841,0.98913,0.99012,0.99465,0.95999,0.98913,0.99012,0.99465,0.92449,0.27205,0.61873,0.20468,0.86659,0.0003566,0.0003566,0.0003566
168,1598,0.2803,0.51661,0.22434,0.91061,0.98768,0.98935,0.9946,0.95646,0.98521,0.98688,0.99417,0.92154,0.27977,0.59981,0.19547,0.86588,0.0003467,0.0003467,0.0003467
169,1607.61,0.27576,0.50093,0.21372,0.89803,0.98203,0.99506,0.99429,0.95011,0.97715,0.99012,0.9938,0.9159,0.28566,0.60322,0.20114,0.86758,0.0003368,0.0003368,0.0003368
170,1617.12,0.26859,0.50562,0.21972,0.89746,0.99786,0.98765,0.99498,0.95972,0.99038,0.98025,0.99442,0.92181,0.27565,0.61081,0.19368,0.86572,0.0003269,0.0003269,0.0003269
171,1626.64,0.26853,0.48705,0.21688,0.90253,0.98294,0.99561,0.9948,0.95527,0.98957,0.98519,0.99442,0.91651,0.27657,0.61063,0.19256,0.86305,0.000317,0.000317,0.000317
172,1636.16,0.26978,0.48516,0.21782,0.89852,0.99456,0.99753,0.995,0.95735,0.98964,0.99259,0.99475,0.92167,0.27045,0.61065,0.19564,0.85534,0.0003071,0.0003071,0.0003071
173,1645.67,0.27399,0.49478,0.21459,0.90696,0.99601,0.99506,0.99493,0.95757,0.99353,0.99259,0.9946,0.91981,0.28306,0.59902,0.19156,0.86458,0.0002972,0.0002972,0.0002972
174,1655.18,0.26511,0.49173,0.21035,0.89706,0.99265,0.99259,0.99493,0.95529,0.9885,0.99259,0.9945,0.92044,0.27792,0.5967,0.19733,0.86786,0.0002873,0.0002873,0.0002873
175,1664.7,0.27123,0.49902,0.22064,0.90002,0.9926,0.99424,0.99495,0.95568,0.99014,0.99177,0.99468,0.92294,0.27405,0.58559,0.19404,0.86037,0.0002774,0.0002774,0.0002774
176,1695.33,0.27187,0.48398,0.21089,0.90712,0.99504,0.99136,0.99465,0.95081,0.99257,0.98889,0.99416,0.91992,0.29232,0.61756,0.19722,0.88514,0.0002675,0.0002675,0.0002675
177,1704.84,0.26699,0.48505,0.21725,0.905,0.99503,0.98894,0.99475,0.95558,0.99006,0.98401,0.99391,0.92238,0.2733,0.59862,0.19239,0.86803,0.0002576,0.0002576,0.0002576
178,1714.36,0.27148,0.49617,0.21584,0.8988,0.99001,0.979,0.99397,0.95632,0.97772,0.98765,0.99336,0.92394,0.2806,0.59276,0.19704,0.86817,0.0002477,0.0002477,0.0002477
179,1723.89,0.26344,0.48289,0.2055,0.90139,0.97979,0.98519,0.99441,0.95739,0.97979,0.98519,0.99389,0.92621,0.2874,0.59535,0.20335,0.87367,0.0002378,0.0002378,0.0002378
180,1733.4,0.26355,0.48794,0.2068,0.89494,0.98198,0.98272,0.99387,0.95953,0.98198,0.98272,0.99335,0.92624,0.28087,0.58621,0.19981,0.86233,0.0002279,0.0002279,0.0002279
181,1742.93,0.26329,0.47411,0.2146,0.89976,0.98887,0.97778,0.99374,0.9582,0.98887,0.97778,0.99314,0.92179,0.28914,0.59953,0.21136,0.87611,0.000218,0.000218,0.000218
182,1752.47,0.27079,0.48792,0.21123,0.89928,0.98749,0.97468,0.99431,0.96143,0.98749,0.97468,0.99395,0.92416,0.2874,0.60087,0.20172,0.869,0.0002081,0.0002081,0.0002081
183,1761.98,0.26215,0.49386,0.20607,0.89877,0.97802,0.98889,0.99438,0.96117,0.97802,0.98889,0.9939,0.923,0.27902,0.60349,0.19986,0.86382,0.0001982,0.0001982,0.0001982
184,1771.49,0.25848,0.48654,0.20136,0.89911,0.98764,0.9864,0.99465,0.96047,0.98517,0.98393,0.99379,0.92529,0.27794,0.60199,0.18948,0.86365,0.0001883,0.0001883,0.0001883
185,1781.04,0.26216,0.49128,0.20216,0.89806,0.99467,0.98765,0.99488,0.96245,0.99218,0.98519,0.99428,0.92659,0.27459,0.5827,0.18836,0.86107,0.0001784,0.0001784,0.0001784
186,1790.6,0.26087,0.48033,0.2067,0.8979,0.98677,0.99506,0.99473,0.96377,0.9826,0.99012,0.99432,0.92794,0.26417,0.58622,0.18429,0.85144,0.0001685,0.0001685,0.0001685
187,1800.12,0.25245,0.47216,0.20431,0.89449,0.9877,0.99105,0.99429,0.96433,0.9874,0.98765,0.99392,0.92444,0.26579,0.59667,0.18389,0.85877,0.0001586,0.0001586,0.0001586
188,1809.66,0.25895,0.4771,0.20667,0.89822,0.9873,0.99753,0.99475,0.96528,0.98527,0.99082,0.99452,0.92681,0.26798,0.59579,0.18341,0.85421,0.0001487,0.0001487,0.0001487
189,1819.21,0.25769,0.46968,0.19782,0.89727,0.98225,0.99506,0.9947,0.96424,0.98706,0.98765,0.9945,0.92508,0.27372,0.61606,0.18853,0.86447,0.0001388,0.0001388,0.0001388
190,1828.74,0.25141,0.47461,0.19739,0.8939,0.98263,0.99259,0.99458,0.96468,0.98048,0.99196,0.99422,0.9231,0.2703,0.60487,0.18946,0.86235,0.0001289,0.0001289,0.0001289
191,1839.3,0.18595,0.36871,0.18335,0.86568,0.99309,0.98272,0.99438,0.95884,0.99059,0.98025,0.99404,0.91808,0.27654,0.62605,0.19154,0.86995,0.000119,0.000119,0.000119
192,1848.75,0.17251,0.34277,0.14435,0.85471,0.98388,0.98765,0.99429,0.94957,0.98142,0.98519,0.99384,0.9095,0.2894,0.65637,0.18915,0.89061,0.0001091,0.0001091,0.0001091
193,1858.16,0.17302,0.34008,0.1401,0.84887,0.98961,0.98519,0.99453,0.94827,0.98497,0.98025,0.99403,0.91133,0.29006,0.66088,0.18857,0.88291,9.92e-05,9.92e-05,9.92e-05
194,1867.59,0.1672,0.32636,0.1376,0.84404,0.98766,0.98838,0.99465,0.95148,0.99495,0.97201,0.99426,0.91315,0.28219,0.65463,0.19141,0.87311,8.93e-05,8.93e-05,8.93e-05
195,1877.01,0.16457,0.33462,0.13512,0.84098,0.99007,0.98491,0.9947,0.95748,0.98497,0.99012,0.99465,0.9156,0.27584,0.64753,0.19008,0.8676,7.94e-05,7.94e-05,7.94e-05
196,1886.44,0.16464,0.32191,0.13198,0.84432,0.99251,0.98213,0.99463,0.95741,0.98321,0.99012,0.9946,0.91751,0.27606,0.64375,0.19157,0.86832,6.95e-05,6.95e-05,6.95e-05
197,1895.86,0.16057,0.32831,0.12976,0.83755,0.98427,0.99259,0.99465,0.95735,0.98251,0.99259,0.99453,0.9206,0.27487,0.63707,0.19225,0.86668,5.96e-05,5.96e-05,5.96e-05
198,1905.29,0.1612,0.31541,0.12972,0.84511,0.98048,0.99225,0.9945,0.95629,0.97804,0.98983,0.9944,0.92148,0.27909,0.64047,0.19274,0.87503,4.97e-05,4.97e-05,4.97e-05
199,1914.71,0.15727,0.3139,0.12838,0.8389,0.98276,0.98531,0.99458,0.95845,0.9803,0.98287,0.99448,0.92251,0.27869,0.64209,0.19029,0.87439,3.98e-05,3.98e-05,3.98e-05
200,1924.11,0.16036,0.31618,0.12911,0.84452,0.98198,0.99259,0.99465,0.95899,0.97954,0.99012,0.99448,0.92344,0.27259,0.63346,0.18726,0.86687,2.99e-05,2.99e-05,2.99e-05
